Season,Competition,Date,Venue,Club,Opponent,Minute,At_score,Type,Goal_assist,Comunidad,Score home,Score visitant
04/05,LaLiga,01-05-2005,H,FC Barcelona,Albacete Balompie,90+1,2-00,Left-footed shot,Ronaldinho Gaacho,Castilla La Mancha,2,0
05/06,UEFA Champions League,02-11-2005,H,FC Barcelona,Panathinaikos Athens,34,3-00,Left-footed shot,,Atenas,5,0
10/11,UEFA Champions League,14-09-2010,H,FC Barcelona,Panathinaikos Athens,22,1-01,Left-footed shot,Xavi,Atenas,5,1
10/11,UEFA Champions League,14-09-2010,H,FC Barcelona,Panathinaikos Athens,45,3-01,Left-footed shot,Pedro,Atenas,5,1
10/11,UEFA Champions League,24-11-2010,A,FC Barcelona,Panathinaikos Athens,63,0-02,Left-footed shot,Adriano,Atenas,0,3
05/06,LaLiga,27-11-2005,H,FC Barcelona,Racing Santander,51,2-00,Left-footed shot,Samuel Etoo,Cantabria,4,1
08/09,LaLiga,13-09-2008,H,FC Barcelona,Racing Santander,70,1-00,Penalty,,Cantabria,1,1
08/09,LaLiga,01-02-2009,A,FC Barcelona,Racing Santander,65,1-01,Right-footed shot,Xavi,Cantabria,1,2
08/09,LaLiga,01-02-2009,A,FC Barcelona,Racing Santander,81,1-02,Right-footed shot,,Cantabria,1,2
09/10,LaLiga,22-09-2009,A,FC Barcelona,Racing Santander,23,0-02,Left-footed shot,Xavi,Cantabria,1,4
09/10,LaLiga,22-09-2009,A,FC Barcelona,Racing Santander,63,0-04,Left-footed shot,Xavi,Cantabria,1,4
10/11,LaLiga,29-08-2010,A,FC Barcelona,Racing Santander,3,0-01,Left-footed shot,Andres Iniesta,Cantabria,0,3
10/11,LaLiga,22-01-2011,H,FC Barcelona,Racing Santander,33,2-00,Penalty,,Cantabria,3,0
11-Dec,LaLiga,15-10-2011,H,FC Barcelona,Racing Santander,11,1-00,Right-footed shot,Andres Iniesta,Cantabria,3,0
11-Dec,LaLiga,15-10-2011,H,FC Barcelona,Racing Santander,69,3-00,Right-footed shot,,Cantabria,3,0
11-Dec,LaLiga,11-03-2012,A,FC Barcelona,Racing Santander,28,0-01,Left-footed shot,Cesc Fabregas,Cantabria,0,2
11-Dec,LaLiga,11-03-2012,A,FC Barcelona,Racing Santander,55,0-02,Penalty,,Cantabria,0,2
05/06,LaLiga,15-01-2006,H,FC Barcelona,Athletic Bilbao,50,2-01,Left-footed shot,Mark van Bommel,País Vasco,2,1
08/09,LaLiga,07-03-2009,H,FC Barcelona,Athletic Bilbao,31,2-00,Penalty,,País Vasco,2,0
08/09,Copa del Rey,13-05-2009,H,FC Barcelona,Athletic Bilbao,55,2-01,Left-footed shot,Samuel Etoo,País Vasco,4,1
09/10,Supercopa,23-08-2009,H,FC Barcelona,Athletic Bilbao,50,1-00,Right-footed shot,Zlatan Ibrahimovic,País Vasco,3,0
09/10,Supercopa,23-08-2009,H,FC Barcelona,Athletic Bilbao,68,2-00,Penalty,,País Vasco,3,0
09/10,LaLiga,03-04-2010,H,FC Barcelona,Athletic Bilbao,67,4-00,Left-footed shot,Pedro,País Vasco,4,1
10/11,LaLiga,20-02-2011,H,FC Barcelona,Athletic Bilbao,78,2-01,Right-footed shot,Dani Alves,País Vasco,2,1
