Season;Competition;Date;Venue;Club;Opponent;Result;Minute;At_score;Type;Goal_assist;Comunidad
22/23;Mayor League Soccer;26/08/2023;A;Inter Miami;New York Red Bulls;0-2;89;0-2;Left-footed shot;Benja Cremaschi;New York
22/23;Leagues Cup;20/08/2023;A;Inter Miami;Nashville SC;0-1;23;0-1;Left-footed shot;;Tennessee
22/23;Leagues Cup;15/08/2023;A;Inter Miami;Philadelphia Union;0-2;20;0-2;Left-footed shot;Josef Martínez;Pensilvania
22/23;Leagues Cup;11/08/2023;H;Inter Miami;Charlotte;4-0;86;4-0;Left-footed shot;Leonardo Campana;Carolina del Norte
22/23;Leagues Cup;06/08/2023;A;Inter Miami;FC Dallas;4-4;85;4-4;Left-footed shot;;Texas
22/23;Leagues Cup;06/08/2023;A;Inter Miami;FC Dallas;0-1;6;0-1;Left-footed shot;Jordi Alba;Texas
22/23;Leagues Cup;02/08/2023;H;Inter Miami;Orlando City;3-1;72;3-1;Right-footed shot;Josef Martínez;Florida
22/23;Leagues Cup;02/08/2023;H;Inter Miami;Orlando City;1-0;7;1-0;Left-footed shot;Robert Taylor;Florida
22/23;Leagues Cup;25/07/2023;H;Inter Miami;Atlanta United FC;2-0;22;2-0;Right-footed shot;Robert Taylor;Georgia
22/23;Leagues Cup;25/07/2023;H;Inter Miami;Atlanta United FC;1-0;8;1-0;Right-footed shot;;Georgia
22/23;Leagues Cup;22/07/2023;A;Inter Miami;Cruz Azul;1-2;90+4;1-2;Left-footed shot;;Ciudad de México
