N;Fecha;Rival;Estadio;Resulltado;Goles;Minutos;TG;Asistido por;A;Minuto;Competencia;Notas;PR;BA;Mj;Temporada
827;21.10.2022;A.C. Ajaccio;François-Coty;3-0;1;;;Neymar;2;;Ligue 1 2022-23 Jornada 12;;;;;2022-23609?
275;13/09/2011;A.C. Milan;Camp Nou;2-2222?;;;-;-;1;36;Liga de Campeones 2011/12 J1 FG;;;Pedro;90;2011/12218?
289;23/11/2011;A.C. Milan;San Siro;3-2233?;1 (2-1);31;p;-;1;63;Liga de Campeones 2011/12 J5 FG;;;Xavi;90;2011/12218?
316;28/03/2012;A.C. Milan;San Siro;0-0254?;-;-;-;-;-;-;Liga de Campeones 2011/12 CF Ida;;;-;90;2011/12218?
318;03/04/2012;A.C. Milan;Camp Nou;3-1256?;2 (1-0, 2-1);11, 41;;;-;-;Liga de Campeones 2011/12 CF Vuelta;;;;90;2011/12218?
366;20/02/2013;A.C. Milan;San Siro;0-2283?;;;-;;-;-;Liga de Campeones 2012/13 1/8 Ida;;;;90;2012/13263?
371;12/03/2013;A.C. Milan;Camp Nou;4-0287?;2 (1-0, 2-0);5, 39;z (2);Xavi, Iniesta;-;-;Liga de Campeones 2012/13 1/8 Vuelta;;;;90;2012/13263?
390;22/10/2013;A.C. Milan;San Siro;1-1304?;1;23;z;Iniesta;-;-;Liga de Campeones 2013/14 J3 FG;-;;-;90;2013/14294?
394;06/11/2013;A.C. Milan;Camp Nou;3-1308?;2 (1-0, 3-1);30, 83;p, z;Fábregas;;;Liga de Campeones 2013/14 J4 FG;-;;;90;2013/14294?
229;10/11/2010;A.D. Ceuta;Camp Nou;05-ene;1 (5-1);68;z;Thiago;-;-;Copa del Rey 2010/11 1/16 Vuelta; 61';;;;2010/11188?
831;13.11.2022;A.J. Auxerre;Parc des Princes;5-0;;;;;;;Ligue 1 2022-23 Jornada 15;;;;;2022-23609?
793;12.12.2021;A.S. Monaco;Parc des Princes;2-0;;;;;1 (2-0);45;Ligue 1 2021-22 Jornada 18;;;Mbappé;;2021-22
817;21.8.2022;A.S. Monaco;Parc des Princes;01-ene;;;;;;;Ligue 1 2022-23 Jornada 4;;;;;2022-23609?
489;16/09/2015;A.S. Roma;Olímpico de Roma;1-1396?;-;-;;;;-;Liga de Campeones 2015/16 FG;;;;90;2015/16391?
494;24/11/2015;A.S. Roma;Camp Nou;6-1400?;2 (2-0, 5-0);18, 59;z, r;Luis Suárez;1 (4-0);56;Liga de Campeones 2015/16 FG;;;Piqué;90;2015/16391?
628;04/04/2018;A.S. Roma;Camp Nou;4-1504?;;;;;;;Liga de Campeones 2017-18 CF Ida;;;;;2017/18475?
630;10/04/2018;A.S. Roma;Olímpico de Roma;0-3506?;;;;;;;Liga de Campeones 2017-18 CF Vuelta; 63';Alisson Becker;;90;2017/18475?
789;28.11.2021;A.S. Saint Etienne;Geoffroy-Guichard;03-ene;;;;;3;45+2, 79, 90+1;Ligue 1 2021-22 Jornada 15;;;Marquinhos (2), Di María;90;2021-22
801;26.2.2022;A.S. Saint Etienne;Parc des Princes;03-ene;;;;;2 (1-0, 2-0);42, 47;Ligue 1 2021-22 Jornada 26;;;Mbappé (2);90;2021-22
850;13.5.2023;Ajaccio;Parc des Princes;5-0;;;;;;;Ligue 1 2022-23 Jornada 35;;;;;2022-23609?
385;18/09/2013;Ajax Ámsterdam;Camp Nou;4-0299?;3 (1-0, 2-0, 4-0);22, 55, 75;TL, z (2);Busquets, Xavi;-;-;Liga de Campeones 2013/14 J1 FG;-;;-;90;2013/14294?
436;21/10/2014;Ajax Ámsterdam;Camp Nou;3-1351?;1;24;z;Neymar;1 (1-0);7;Liga de Campeones 2014/15 FG;-;;Neymar;90;2014/15341?
439;05/11/2014;Ajax Ámsterdam;Ámsterdam Arena;2-0354?;2;36, 76;z;Alba, Pedro;-;-;Liga de Campeones 2014/15 FG;-;;-;90;2014/15341?
294;15/12/2011;Al-Sadd;Yokohama;4-0237?;;;-;;1;64;Mundial de Clubes 2011 Semifinales;;;;;2011/12218?
6;11/12/2004;Albacete Balompié;Carlos Belmonte;2-18?;-;-;-;-;-;-;La Liga 2004/05 Jornada 15; 90+5' Damià;;-;1;2004/053?
9;01/05/2005;Albacete Balompié;Camp Nou;2-011?;1;90;z;Ronaldinho;-;-;La Liga 2004/05 Jornada 34; 88' Eto'o;;;3;2004/053?
848;21.4.2023;Angers;Raymond Kopa;02-ene;;;;;;;Ligue 1 2022-23 Jornada 32;;;;;2022-23609?
832;11.1.2023;Angers A.S.Q.;Parc des Princes;2-0;1;;;Mukiele;;;Ligue 1 2022-23 Jornada 18;;;;;2022-23609?
429;17/09/2014;APOEL Nicosia;Camp Nou;1-0344?;-;-;-;-;1;28;Liga de Campeones 2014/15 FG;;;Piqué;90;2014/15341?
442;25/11/2014;APOEL Nicosia;GSP;4-0357?;3;38, 58,87;d (3);Rafinha, Dani Alves, Pedro;-;-;Liga de Campeones 2014/15 FG;-;;-;90;2014/15341?
202;31/03/2010;Arsenal F.C.;Emirates;02-feb;;;-;;-;-;Liga de Campeones 2009/10 CF Ida; 86';;;;2009/10156?
204;06/04/2010;Arsenal F.C.;Camp Nou;4-1181?;4 (1-1, 2-1, 3-1, 4-1);21, 37, 42, 88;z, d, z, r;Pedro, Keita;-;-;Liga de Campeones 2009/10 CF Vuelta;;;;;2009/10156?
